start_dt,stop_dt,duration,depth,scramble,is_solved,solve_steps,sol_len_naive,sol_len_bfs,tree_depth_max,tree_depth_mean
2020-06-01T12:10:06.455689,2020-06-01T12:10:06.493637,0.037948,1,10,1,1,1,1,1,1
2020-06-01T12:10:06.493861,2020-06-01T12:10:06.494617,0.000756,1,1,1,1,1,1,1,1
2020-06-01T12:10:06.494784,2020-06-01T12:10:06.495504,0.00072,1,0,1,1,1,1,1,1
2020-06-01T12:10:06.495669,2020-06-01T12:10:06.496392,0.000723,1,11,1,1,1,1,1,1
2020-06-01T12:10:06.496557,2020-06-01T12:10:06.497280,0.000723,1,4,1,1,1,1,1,1
2020-06-01T12:10:06.498067,2020-06-01T12:10:06.500425,0.002358,2,3 3,1,3,2,2,2,1.6875
2020-06-01T12:10:06.500861,2020-06-01T12:10:06.503122,0.002261,2,11 1,1,3,2,2,2,1.6875
2020-06-01T12:10:06.503504,2020-06-01T12:10:06.505764,0.00226,2,11 8,1,3,2,2,2,1.6875
2020-06-01T12:10:06.506207,2020-06-01T12:10:06.507697,0.00149,2,9 6,1,2,2,2,2,1.5
2020-06-01T12:10:06.507993,2020-06-01T12:10:06.510224,0.002231,2,0 1,1,3,2,2,2,1.6875
2020-06-01T12:10:06.511259,2020-06-01T12:10:06.512072,0.000813,3,3 8 9,1,1,1,1,1,1
2020-06-01T12:10:06.512240,2020-06-01T12:10:06.517613,0.005373,3,0 8 3,1,7,3,3,3,2.4125
2020-06-01T12:10:06.518353,2020-06-01T12:10:06.522295,0.003942,3,8 6 3,1,5,3,3,3,2.230769231
2020-06-01T12:10:06.522876,2020-06-01T12:10:06.525642,0.002766,3,4 0 2,1,4,3,3,3,2.023809524
2020-06-01T12:10:06.526130,2020-06-01T12:10:06.529338,0.003208,3,5 4 2,1,5,3,3,3,2.230769231
2020-06-01T12:10:06.530349,2020-06-01T12:10:06.532105,0.001756,4,1 1 6 1,1,3,2,2,2,1.6875
2020-06-01T12:10:06.532335,2020-06-01T12:10:06.538894,0.006559,4,5 9 4 0,1,12,4,4,4,2.975409836
2020-06-01T12:10:06.539653,2020-06-01T12:10:06.543678,0.004025,4,1 8 4 9,1,8,4,4,4,2.711111111
2020-06-01T12:10:06.544344,2020-06-01T12:10:06.549760,0.005416,4,11 1 0 10,1,11,4,4,4,2.875
2020-06-01T12:10:06.550584,2020-06-01T12:10:06.566056,0.015472,4,1 6 4 7,1,29,4,4,5,3.536585366
2020-06-01T12:10:06.568234,2020-06-01T12:10:06.577057,0.008823,5,9 10 2 11 3,1,17,5,5,5,3.766949153
2020-06-01T12:10:06.578686,2020-06-01T12:10:06.600453,0.021767,5,3 10 5 0 3,1,41,5,5,7,4.430604982
2020-06-01T12:10:06.603524,2020-06-01T12:10:06.723708,0.120184,5,4 2 3 11 8,1,156,7,5,9,5.3984375
2020-06-01T12:10:06.730361,2020-06-01T12:10:06.879963,0.149602,5,9 1 1 11 7,1,209,35,7,8,5.542223671
