start_dt,stop_dt,duration,depth,scramble,is_solved,solve_steps,sol_len_naive,sol_len_bfs,tree_depth_max,tree_depth_mean
2020-06-04T19:35:05.994793,2020-06-04T19:35:05.997610,0.002817,1,10,1,1,1,1,1,1
2020-06-04T19:35:05.997742,2020-06-04T19:35:05.998260,0.000518,1,1,1,1,1,1,1,1
2020-06-04T19:35:05.998364,2020-06-04T19:35:05.998834,0.00047,1,0,1,1,1,1,1,1
2020-06-04T19:35:05.998936,2020-06-04T19:35:05.999407,0.000471,1,11,1,1,1,1,1,1
2020-06-04T19:35:05.999513,2020-06-04T19:35:05.999981,0.000468,1,4,1,1,1,1,1,1
2020-06-04T19:35:06.000552,2020-06-04T19:35:06.002179,0.001627,2,3 3,1,3,2,2,2,1.6875
2020-06-04T19:35:06.002458,2020-06-04T19:35:06.003910,0.001452,2,11 1,1,3,2,2,2,1.6875
2020-06-04T19:35:06.004103,2020-06-04T19:35:06.005545,0.001442,2,11 8,1,3,2,2,2,1.6875
2020-06-04T19:35:06.005816,2020-06-04T19:35:06.006798,0.000982,2,9 6,1,2,2,2,2,1.5
2020-06-04T19:35:06.006985,2020-06-04T19:35:06.008423,0.001438,2,0 1,1,3,2,2,2,1.6875
2020-06-04T19:35:06.009156,2020-06-04T19:35:06.009757,0.000601,3,3 8 9,1,1,1,1,1,1
2020-06-04T19:35:06.009873,2020-06-04T19:35:06.012350,0.002477,3,0 8 3,1,5,3,3,3,2.230769231
2020-06-04T19:35:06.012727,2020-06-04T19:35:06.015226,0.002499,3,11 8 6,1,5,3,3,3,2.230769231
2020-06-04T19:35:06.015587,2020-06-04T19:35:06.018072,0.002485,3,9 4 0,1,5,3,3,3,2.230769231
2020-06-04T19:35:06.018431,2020-06-04T19:35:06.021952,0.003521,3,6 5 4,1,7,3,3,3,2.4125
2020-06-04T19:35:06.023006,2020-06-04T19:35:06.024566,0.00156,4,1 1 6 1,1,3,2,2,2,1.6875
2020-06-04T19:35:06.025486,2020-06-04T19:35:06.029031,0.003545,4,5 9 4 0,1,7,4,4,4,2.75
2020-06-04T19:35:06.029545,2020-06-04T19:35:06.033059,0.003514,4,1 6 1 8,1,7,4,4,4,2.75
2020-06-04T19:35:06.033572,2020-06-04T19:35:06.036572,0.003,4,5 9 11 1,1,6,4,4,4,2.532258065
2020-06-04T19:35:06.037080,2020-06-04T19:35:06.040056,0.002976,4,4 1 3 1,1,6,4,4,4,2.532258065
2020-06-04T19:35:06.041034,2020-06-04T19:35:06.045267,0.004233,5,10 5 2 5 5,1,8,5,5,5,3.036585366
2020-06-04T19:35:06.045941,2020-06-04T19:35:06.050639,0.004698,5,10 10 1 9 10,1,9,5,5,5,3.260869565
2020-06-04T19:35:06.051397,2020-06-04T19:35:06.056048,0.004651,5,2 7 6 4 11,1,9,5,5,5,3.260869565
2020-06-04T19:35:06.056714,2020-06-04T19:35:06.206718,0.150004,5,0 3 0 5 6,1,147,35,5,10,5.974430683
2020-06-04T19:35:06.211698,2020-06-04T19:35:06.216520,0.004822,5,9 2 5 2 0,1,9,5,5,5,3.260869565
2020-06-04T19:35:06.217735,2020-06-04T19:35:06.223522,0.005787,6,1 5 4 3 0 3,1,11,6,6,6,3.9375
2020-06-04T19:35:06.224428,2020-06-04T19:35:06.230156,0.005728,6,1 8 10 7 8 4,1,11,6,6,6,3.767857143
2020-06-04T19:35:06.230978,2020-06-04T19:35:06.237203,0.006225,6,11 11 3 11 4 6,1,12,6,6,6,4.235294118
2020-06-04T19:35:06.238353,2020-06-04T19:35:06.243485,0.005132,6,1 3 3 1 5 0,1,10,6,6,6,3.727272727
2020-06-04T19:35:06.244307,2020-06-04T19:35:06.250010,0.005703,6,0 1 11 10 0 3,1,11,6,6,6,4.178571429
2020-06-04T19:35:06.251336,2020-06-04T19:35:06.781766,0.53043,7,3 4 7 3 8 11 9,1,489,7,7,13,9.80349345
2020-06-04T19:35:06.816309,2020-06-04T19:35:06.841410,0.025101,7,5 4 3 3 0 10 3,1,44,7,7,8,5.279513889
2020-06-04T19:35:06.845860,2020-06-04T19:35:06.852313,0.006453,7,9 6 5 5 6 9 8,1,12,7,7,7,4.389473684
2020-06-04T19:35:06.853767,2020-06-04T19:35:06.863334,0.009567,7,11 6 8 8 10 11 11,1,18,7,7,7,4.752
2020-06-04T19:35:06.865117,2020-06-04T19:35:07.137923,0.272806,7,9 5 10 1 11 4 8,1,260,27,7,12,8.460989861
2020-06-04T19:35:07.165038,2020-06-04T19:35:07.173957,0.008919,8,3 6 11 2 11 3 1 6,1,15,8,8,8,4.776315789
2020-06-04T19:35:07.175122,2020-06-04T19:35:39.533125,32.358003,8,6 6 9 11 0 9 6 7,1,10429,444,8,25,13.7579975
2020-06-04T19:35:39.837183,2020-06-04T19:35:39.887053,0.04987,8,3 0 8 4 8 8 7 10,1,26,8,8,8,4.645038168
2020-06-04T19:35:39.889271,2020-06-04T19:35:39.897217,0.007946,8,6 5 8 0 10 3 10 2,1,14,8,8,8,5.066666667
2020-06-04T19:35:39.898363,2020-06-04T19:35:39.984520,0.086157,8,10 2 11 11 7 5 0 3,1,116,28,8,10,6.458923513
2020-06-04T19:35:39.995212,2020-06-04T19:35:40.030111,0.034899,9,4 3 2 2 2 5 9 11 1,1,56,7,7,10,7.363636364
2020-06-04T19:35:40.032929,2020-06-04T19:45:40.038514,600.005585,9,0 9 2 0 2 4 2 6 9,0,129947,-1,-1,35,19.31607743
2020-06-04T19:45:57.347652,2020-06-04T19:45:58.005782,0.65813,9,9 7 2 9 5 7 5 5 1,1,78,9,9,11,7.275488069
2020-06-04T19:45:58.020078,2020-06-04T19:45:58.123865,0.103787,9,5 9 11 8 10 9 5 6 5,1,133,9,9,10,7.616930572
2020-06-04T19:45:58.144449,2020-06-04T19:45:58.218653,0.074204,9,9 11 9 6 4 5 1 1 5,1,79,9,9,9,5.997185741
2020-06-04T19:45:58.227692,2020-06-04T19:55:58.229659,600.001967,10,11 4 1 6 2 7 5 0 10 10,0,137295,-1,-1,34,17.05194521
2020-06-04T19:56:03.650777,2020-06-04T20:06:04.307093,600.656316,10,3 11 8 6 2 1 3 10 1 8,0,143099,-1,-1,35,19.48171493
2020-06-04T20:06:15.477868,2020-06-04T20:06:58.906857,43.428989,10,10 10 9 1 3 11 11 10 0 9,1,13093,90,18,24,15.57371516
2020-06-04T20:07:09.136088,2020-06-04T20:17:09.192412,600.056324,10,8 7 8 6 5 7 8 3 4 4,0,94426,-1,-1,36,19.18581391
2020-06-04T20:17:22.103289,2020-06-04T20:17:22.523842,0.420553,10,5 10 11 0 11 1 0 1 1 1,1,7,4,4,4,2.611111111
2020-06-04T20:17:22.524972,2020-06-04T20:27:22.526322,600.00135,11,8 4 8 10 7 4 3 6 9 1 5,0,168149,-1,-1,31,18.27770458
2020-06-04T20:27:37.995275,2020-06-04T20:37:38.856606,600.861331,11,7 11 1 10 11 6 9 10 3 2 7,0,162950,-1,-1,34,19.73001359
2020-06-04T20:37:57.262748,2020-06-04T20:37:58.212232,0.949484,11,0 2 7 8 11 0 1 5 4 11 10,1,123,81,7,11,9.007878018
2020-06-04T20:37:58.218569,2020-06-04T20:47:58.221217,600.002648,11,9 10 11 6 9 1 2 3 10 2 1,0,166480,-1,-1,36,20.32742518
2020-06-04T20:48:48.629027,2020-06-04T20:48:49.525521,0.896494,11,11 9 4 5 9 11 6 9 10 2 6,1,68,11,11,11,5.546987952
2020-06-04T20:48:49.533027,2020-06-04T20:58:49.533519,600.000492,12,11 3 11 4 0 7 0 7 7 5 9 7,0,198113,-1,-1,33,19.08261897
2020-06-04T20:59:27.942624,2020-06-04T21:09:29.013873,601.071249,12,9 6 2 10 7 8 0 9 4 1 4 5,0,156575,-1,-1,34,20.49733573
2020-06-04T21:11:22.943752,2020-06-04T21:12:03.764018,40.820266,12,9 6 6 9 2 9 4 5 6 8 7 3,1,35586,12,12,26,17.0698585
2020-06-04T21:12:12.496890,2020-06-04T21:22:12.639078,600.142188,12,7 8 6 7 11 2 9 6 9 4 0 8,0,226672,-1,-1,31,17.2762571
2020-06-04T21:22:35.339394,2020-06-04T21:32:36.649586,601.310192,12,9 1 9 5 3 1 1 9 11 8 1 11,0,87751,-1,-1,28,16.81234408
2020-06-04T21:32:41.250333,2020-06-04T21:42:41.653197,600.402864,13,8 0 10 6 1 4 7 7 0 11 8 1 2,0,155223,-1,-1,36,21.90223047
2020-06-04T21:43:19.458542,2020-06-04T21:53:20.265105,600.806563,13,4 9 11 4 11 0 9 1 2 7 4 2 7,0,185898,-1,-1,33,19.68831426
2020-06-04T21:53:58.621647,2020-06-04T22:03:59.650252,601.028605,13,7 2 1 11 2 11 4 4 5 6 9 9 10,0,203133,-1,-1,32,19.53636998
2020-06-04T22:04:37.659782,2020-06-04T22:14:38.774288,601.114506,13,2 0 4 7 8 7 9 1 11 3 10 6 6,0,188815,-1,-1,35,18.68818714
2020-06-04T22:14:55.193949,2020-06-04T22:24:56.239255,601.045306,13,2 9 9 7 6 11 1 0 3 3 7 7 7,0,141892,-1,-1,34,17.4738188
2020-06-04T22:25:11.470950,2020-06-04T22:35:12.205264,600.734314,14,3 5 2 11 2 3 5 5 3 3 11 2 0 8,0,232905,-1,-1,30,18.04204476
2020-06-04T22:35:30.995005,2020-06-04T22:35:32.862140,1.867135,14,6 2 11 3 2 9 5 8 5 4 4 11 10 10,1,342,6,6,12,7.312117177
2020-06-04T22:35:32.882402,2020-06-04T22:45:32.883766,600.001364,14,9 10 0 2 2 1 3 0 7 0 3 3 6 4,0,132293,-1,-1,34,19.11224939
2020-06-04T22:45:42.246440,2020-06-04T22:55:42.910152,600.663712,14,0 3 0 9 11 6 10 1 2 10 7 3 1 1,0,213428,-1,-1,33,17.76917687
2020-06-04T22:55:56.067685,2020-06-04T23:05:57.319682,601.251997,14,8 4 7 2 6 10 7 8 0 10 8 10 0 1,0,232408,-1,-1,30,17.66154893
2020-06-04T23:06:13.862282,2020-06-04T23:16:15.274207,601.411925,15,1 1 3 0 8 0 8 1 0 0 4 5 9 2 9,0,201395,-1,-1,36,18.43717718
2020-06-04T23:16:39.189811,2020-06-04T23:26:40.344985,601.155174,15,1 10 11 8 5 0 2 2 9 8 5 9 5 1 0,0,221238,-1,-1,32,17.94712546
2020-06-04T23:26:54.619410,2020-06-04T23:36:55.963770,601.34436,15,7 9 11 1 10 3 8 1 5 2 0 11 4 11 7,0,151319,-1,-1,31,18.93410009
2020-06-04T23:37:14.643288,2020-06-04T23:47:15.438741,600.795453,15,11 0 9 2 2 5 2 10 6 3 11 10 9 2 10,0,204328,-1,-1,31,17.99117387
2020-06-04T23:47:29.993282,2020-06-04T23:57:31.209826,601.216544,15,11 3 11 11 0 1 11 7 10 2 7 11 0 2 5,0,160687,-1,-1,35,18.4422907
2020-06-04T23:57:46.216953,2020-06-05T00:07:47.080637,600.863684,16,1 6 5 2 11 9 7 3 3 0 11 0 11 11 7 10,0,183181,-1,-1,34,23.6353852
2020-06-05T00:08:33.498263,2020-06-05T00:18:34.526688,601.028425,16,10 9 5 5 7 7 10 0 0 2 11 10 3 1 1 3,0,244466,-1,-1,34,19.4210741
2020-06-05T00:20:27.272860,2020-06-05T00:30:28.803085,601.530225,16,6 10 5 7 10 8 8 4 1 6 11 1 8 6 4 6,0,106546,-1,-1,36,21.09648049
2020-06-05T00:30:38.952410,2020-06-05T00:40:39.476496,600.524086,16,1 3 10 6 9 5 7 6 4 3 0 3 8 11 3 11,0,163626,-1,-1,33,19.05784143
2020-06-05T00:40:59.225212,2020-06-05T00:51:00.119880,600.894668,16,9 2 9 10 7 0 4 11 4 1 3 5 2 0 0 9,0,191651,-1,-1,32,18.44550491
2020-06-05T00:51:13.485061,2020-06-05T01:01:14.597324,601.112263,17,10 6 9 5 9 10 2 0 2 5 5 2 2 5 9 10 2,0,198480,-1,-1,35,21.09223707
2020-06-05T01:01:39.456222,2020-06-05T01:11:40.608262,601.15204,17,1 6 1 1 8 8 10 7 10 10 10 6 5 4 7 2 6,0,200580,-1,-1,33,18.79265914
2020-06-05T01:12:00.376948,2020-06-05T01:22:01.559639,601.182691,17,2 6 7 10 6 8 4 11 11 8 6 3 0 4 3 2 10,0,202894,-1,-1,40,26.30316051
2020-06-05T01:22:44.491200,2020-06-05T01:32:45.671752,601.180552,17,8 11 2 10 0 9 7 7 3 6 1 8 5 2 3 2 9,0,90634,-1,-1,29,16.25812727
2020-06-05T01:32:49.126763,2020-06-05T01:42:49.556847,600.430084,17,0 3 0 10 0 9 0 7 2 10 8 4 0 1 5 5 1,0,128708,-1,-1,31,18.90970707
2020-06-05T01:43:00.250157,2020-06-05T01:53:00.901789,600.651632,18,8 9 4 7 2 1 3 11 2 11 9 1 4 0 7 0 7 6,0,111370,-1,-1,29,16.08741206
2020-06-05T01:53:06.833812,2020-06-05T02:03:07.380235,600.546423,18,4 1 3 1 1 0 8 11 9 0 11 2 6 1 5 5 5 1,0,233632,-1,-1,34,17.31760875
2020-06-05T02:03:24.502445,2020-06-05T02:13:25.956087,601.453642,18,8 11 11 0 7 11 8 9 6 5 3 2 1 8 8 4 8 5,0,208384,-1,-1,36,19.95028696
2020-06-05T02:14:03.571310,2020-06-05T02:24:04.797989,601.226679,18,11 11 2 2 11 7 0 4 2 1 5 8 0 10 2 2 3 8,0,231583,-1,-1,33,18.54371236
2020-06-05T02:24:19.674547,2020-06-05T02:34:21.051800,601.377253,18,3 8 4 7 2 2 9 7 8 0 0 11 6 10 5 8 1 0,0,232727,-1,-1,31,18.32283352
2020-06-05T02:34:39.741165,2020-06-05T02:44:41.142298,601.401133,19,6 5 4 0 2 5 0 9 9 1 5 7 5 4 2 1 4 9 7,0,163262,-1,-1,32,19.0502421
2020-06-05T02:44:51.195597,2020-06-05T02:54:52.077262,600.881665,19,2 4 2 5 0 11 1 2 10 7 7 0 10 11 11 10 11 9 1,0,174028,-1,-1,30,17.16437749
2020-06-05T02:55:04.592828,2020-06-05T03:05:05.540140,600.947312,19,7 3 5 1 3 7 11 3 3 10 2 0 8 10 9 8 10 2 4,0,214007,-1,-1,28,17.82311051
2020-06-05T03:05:23.990185,2020-06-05T03:15:25.232763,601.242578,19,4 4 0 10 5 9 0 9 8 3 11 4 1 0 3 11 11 10 8,0,166063,-1,-1,34,18.83302171
2020-06-05T03:15:42.418913,2020-06-05T03:25:43.319696,600.900783,19,7 5 2 10 3 7 10 3 4 0 1 5 2 4 4 11 7 3 10,0,144918,-1,-1,34,19.87971999
2020-06-05T03:26:11.678038,2020-06-05T03:36:12.421041,600.743003,20,1 10 10 11 4 0 5 10 2 7 7 8 11 11 2 7 11 2 5 5,0,152274,-1,-1,31,18.89135073
2020-06-05T03:36:22.766515,2020-06-05T03:46:23.562955,600.79644,20,1 1 8 7 10 6 9 7 9 11 10 1 4 0 0 8 0 3 6 5,0,232235,-1,-1,33,18.90228376
2020-06-05T03:46:40.521484,2020-06-05T03:56:41.923866,601.402382,20,10 11 11 2 10 9 7 8 6 3 7 0 3 4 8 0 3 6 7 5,0,237592,-1,-1,31,17.29775727
2020-06-05T03:56:58.814064,2020-06-05T04:07:00.267441,601.453377,20,3 6 9 11 10 2 9 9 5 8 7 10 11 1 6 7 4 2 5 6,0,110967,-1,-1,31,19.32911636
2020-06-05T04:07:06.823219,2020-06-05T04:17:07.355656,600.532437,20,1 4 1 11 9 2 5 6 9 11 0 11 11 3 3 11 3 11 7 5,0,219109,-1,-1,35,20.9224819
2020-06-05T04:17:46.947411,2020-06-05T04:27:48.246970,601.299559,21,4 0 2 9 5 6 10 8 1 4 8 6 5 1 8 11 2 4 7 8 7,0,244914,-1,-1,34,18.86299997
2020-06-05T04:28:12.200965,2020-06-05T04:38:13.722645,601.52168,21,2 4 3 4 0 9 6 11 3 10 7 9 5 2 10 3 3 5 6 7 8,0,173854,-1,-1,33,19.71514009
2020-06-05T04:38:45.194528,2020-06-05T04:48:46.138308,600.94378,21,10 7 11 10 7 5 3 8 1 11 8 4 1 1 5 4 9 6 1 10 11,0,235249,-1,-1,35,18.04962416
2020-06-05T04:49:25.890217,2020-06-05T04:59:27.323001,601.432784,21,6 10 9 2 3 2 4 3 6 9 5 1 0 3 11 8 7 3 5 0 2,0,256547,-1,-1,36,17.18071971
