start_dt,stop_dt,duration,depth,scramble,is_solved,solve_steps,sol_len_naive,sol_len_bfs,tree_depth_max,tree_depth_mean
2020-06-03T07:34:49.025535,2020-06-03T07:34:49.028813,0.003278,1,10,1,1,1,1,1,1
2020-06-03T07:34:49.028945,2020-06-03T07:34:49.029800,0.000855,1,1,1,1,1,1,1,1
2020-06-03T07:34:49.029917,2020-06-03T07:34:49.030748,0.000831,1,0,1,1,1,1,1,1
2020-06-03T07:34:49.030854,2020-06-03T07:34:49.031681,0.000827,1,11,1,1,1,1,1,1
2020-06-03T07:34:49.031790,2020-06-03T07:34:49.032615,0.000825,1,4,1,1,1,1,1,1
2020-06-03T07:34:49.033197,2020-06-03T07:34:49.035896,0.002699,2,3 3,1,3,2,2,2,1.6875
2020-06-03T07:34:49.036178,2020-06-03T07:34:49.038753,0.002575,2,11 1,1,3,2,2,2,1.6875
2020-06-03T07:34:49.038957,2020-06-03T07:34:49.041521,0.002564,2,11 8,1,3,2,2,2,1.6875
2020-06-03T07:34:49.041798,2020-06-03T07:34:49.043501,0.001703,2,9 6,1,2,2,2,2,1.5
2020-06-03T07:34:49.043697,2020-06-03T07:34:49.046234,0.002537,2,0 1,1,3,2,2,2,1.6875
2020-06-03T07:34:49.046943,2020-06-03T07:34:49.047898,0.000955,3,3 8 9,1,1,1,1,1,1
2020-06-03T07:34:49.048012,2020-06-03T07:34:49.053227,0.005215,3,0 8 3,1,6,3,3,3,2.314285714
2020-06-03T07:34:49.053690,2020-06-03T07:34:49.058083,0.004393,3,11 8 6,1,5,3,3,3,2.230769231
2020-06-03T07:34:49.058448,2020-06-03T07:34:49.062753,0.004305,3,9 4 0,1,5,3,3,3,2.230769231
2020-06-03T07:34:49.063119,2020-06-03T07:34:49.067419,0.0043,3,6 5 4,1,5,3,3,3,2.230769231
2020-06-03T07:34:49.068419,2020-06-03T07:34:49.076232,0.007813,4,5 1 1 6,1,9,4,4,4,2.975
2020-06-03T07:34:49.077005,2020-06-03T07:34:49.082164,0.005159,4,4 0 11 7,1,6,4,4,4,2.532258065
2020-06-03T07:34:49.082674,2020-06-03T07:34:49.088708,0.006034,4,1 8 4 9,1,7,4,4,4,2.611111111
2020-06-03T07:34:49.089223,2020-06-03T07:34:49.096098,0.006875,4,11 1 0 10,1,8,4,4,4,2.911111111
2020-06-03T07:34:49.096773,2020-06-03T07:34:49.102783,0.00601,4,3 1 6 4,1,7,4,4,4,2.75
2020-06-03T07:34:49.103909,2020-06-03T07:34:49.192085,0.088176,5,2 5 5 3 10,1,84,5,5,8,6.467635403
2020-06-03T07:34:49.196558,2020-06-03T07:34:49.205348,0.00879,5,8 8 4 11 9,1,10,5,5,5,3.507692308
2020-06-03T07:34:49.206325,2020-06-03T07:34:49.210627,0.004302,5,2 7 0 1 2,1,5,3,3,3,2.038461538
2020-06-03T07:34:49.211055,2020-06-03T07:34:49.221391,0.010336,5,10 6 9 1 6,1,12,5,5,5,3.482352941
2020-06-03T07:34:49.222546,2020-06-03T07:34:49.238979,0.016433,5,8 0 10 11 1,1,19,5,5,5,3.596774194
2020-06-03T07:34:49.241292,2020-06-03T07:34:50.011383,0.770091,6,2 7 0 11 11 4,1,560,84,10,12,7.763881484
2020-06-03T07:34:50.109492,2020-06-03T07:44:50.121035,600.011543,6,5 2 10 2 11 7,0,105805,-1,-1,28,15.90089235
2020-06-03T07:44:54.545974,2020-06-03T07:54:55.011851,600.465877,6,8 9 4 1 3 1,0,120665,-1,-1,28,14.77050898
2020-06-03T07:55:00.700228,2020-06-03T07:55:02.172393,1.472165,6,6 1 8 7 0 0,1,652,94,6,13,7.958104005
2020-06-03T07:55:02.201829,2020-06-03T07:55:02.234097,0.032268,6,3 11 3 7 6 1,1,45,4,4,7,5.070707071
2020-06-03T07:55:02.235852,2020-06-03T07:55:02.262483,0.026631,7,4 6 5 10 7 0 5,1,44,23,7,8,5.805486284
2020-06-03T07:55:02.267075,2020-06-03T07:55:02.269623,0.002548,7,2 4 5 10 11 10 2,1,5,3,3,3,2.230769231
2020-06-03T07:55:02.269985,2020-06-03T07:57:25.776701,143.506716,7,4 6 9 10 3 4 4,1,24379,307,7,21,11.80834553
