start_dt,stop_dt,duration,depth,scramble,is_solved,solve_steps,sol_len_naive,sol_len_bfs,tree_depth_max,tree_depth_mean
2020-05-10T12:23:50.132692,2020-05-10T12:23:50.139486,0.006794,1,10,1,1,1,1,1,1
2020-05-10T12:23:50.139572,2020-05-10T12:23:50.144279,0.004707,1,1,1,1,1,1,1,1
2020-05-10T12:23:50.144353,2020-05-10T12:23:50.149201,0.004848,1,0,1,1,1,1,1,1
2020-05-10T12:23:50.149272,2020-05-10T12:23:50.154126,0.004854,1,11,1,1,1,1,1,1
2020-05-10T12:23:50.154197,2020-05-10T12:23:50.159057,0.00486,1,4,1,1,1,1,1,1
2020-05-10T12:23:50.159130,2020-05-10T12:23:50.163996,0.004866,1,3,1,1,1,1,1,1
2020-05-10T12:23:50.164068,2020-05-10T12:23:50.168880,0.004812,1,3,1,1,1,1,1,1
2020-05-10T12:23:50.168952,2020-05-10T12:23:50.173709,0.004757,1,2,1,1,1,1,1,1
2020-05-10T12:23:50.173781,2020-05-10T12:23:50.178633,0.004852,1,11,1,1,1,1,1,1
2020-05-10T12:23:50.178706,2020-05-10T12:23:50.183545,0.004839,1,1,1,1,1,1,1,1
2020-05-10T12:23:50.183617,2020-05-10T12:23:50.188453,0.004836,1,10,1,1,1,1,1,1
2020-05-10T12:23:50.188524,2020-05-10T12:23:50.193257,0.004733,1,11,1,1,1,1,1,1
2020-05-10T12:23:50.193329,2020-05-10T12:23:50.198172,0.004843,1,8,1,1,1,1,1,1
2020-05-10T12:23:50.198243,2020-05-10T12:23:50.203089,0.004846,1,1,1,1,1,1,1,1
2020-05-10T12:23:50.203160,2020-05-10T12:23:50.208018,0.004858,1,9,1,1,1,1,1,1
2020-05-10T12:23:50.208087,2020-05-10T12:23:50.212902,0.004815,1,6,1,1,1,1,1,1
2020-05-10T12:23:50.212971,2020-05-10T12:23:50.217818,0.004847,1,0,1,1,1,1,1,1
2020-05-10T12:23:50.217890,2020-05-10T12:23:50.222726,0.004836,1,0,1,1,1,1,1,1
2020-05-10T12:23:50.222798,2020-05-10T12:23:50.226685,0.003887,1,1,1,1,1,1,1,1
2020-05-10T12:23:50.226758,2020-05-10T12:23:50.231592,0.004834,1,3,1,1,1,1,1,1
2020-05-10T12:23:50.232133,2020-05-10T12:23:50.241418,0.009285,2,3 8,1,2,2,2,2,1.5
2020-05-10T12:23:50.241552,2020-05-10T12:23:50.256101,0.014549,2,0 8,1,3,2,2,2,1.6875
2020-05-10T12:23:50.256234,2020-05-10T12:23:50.270839,0.014605,2,11 10,1,3,2,2,2,1.6875
2020-05-10T12:23:50.270970,2020-05-10T12:23:50.285545,0.014575,2,8 6,1,3,2,2,2,1.6875
2020-05-10T12:23:50.285676,2020-05-10T12:23:50.300265,0.014589,2,7 9,1,3,2,2,2,1.6875
2020-05-10T12:23:50.300396,2020-05-10T12:23:50.314968,0.014572,2,0 2,1,3,2,2,2,1.6875
2020-05-10T12:23:50.315100,2020-05-10T12:23:50.329678,0.014578,2,6 5,1,3,2,2,2,1.6875
2020-05-10T12:23:50.329855,2020-05-10T12:23:50.344365,0.01451,2,2 3,1,3,2,2,2,1.6875
2020-05-10T12:23:50.344597,2020-05-10T12:23:50.359072,0.014475,2,1 1,1,3,2,2,2,1.6875
2020-05-10T12:23:50.359251,2020-05-10T12:23:50.373755,0.014504,2,1 5,1,3,2,2,2,1.6875
2020-05-10T12:23:50.373935,2020-05-10T12:23:50.388449,0.014514,2,9 4,1,3,2,2,2,1.6875
2020-05-10T12:23:50.388629,2020-05-10T12:23:50.403026,0.014397,2,11 7,1,3,2,2,2,1.6875
2020-05-10T12:23:50.403159,2020-05-10T12:23:50.417751,0.014592,2,1 6,1,3,2,2,2,1.6875
2020-05-10T12:23:50.417885,2020-05-10T12:23:50.427538,0.009653,2,8 4,1,2,2,2,2,1.5
2020-05-10T12:23:50.427663,2020-05-10T12:23:50.442238,0.014575,2,9 5,1,3,2,2,2,1.6875
2020-05-10T12:23:50.442416,2020-05-10T12:23:50.456954,0.014538,2,3 11,1,3,2,2,2,1.6875
2020-05-10T12:23:50.457184,2020-05-10T12:23:50.470169,0.012985,2,0 10,1,3,2,2,2,1.6875
2020-05-10T12:23:50.470350,2020-05-10T12:23:50.484928,0.014578,2,4 1,1,3,2,2,2,1.6875
