start_dt,stop_dt,duration,depth,scramble,is_solved,solve_steps,sol_len_naive,sol_len_bfs,tree_depth_max,tree_depth_mean
2020-05-09T11:01:34.872412,2020-05-09T11:01:34.875278,0.002866,1,10,1,1,1,1,1,1
2020-05-09T11:01:34.875379,2020-05-09T11:01:34.875897,0.000518,1,1,1,1,1,1,1,1
2020-05-09T11:01:34.876012,2020-05-09T11:01:34.876475,0.000463,1,0,1,1,1,1,1,1
2020-05-09T11:01:34.876555,2020-05-09T11:01:34.876998,0.000443,1,11,1,1,1,1,1,1
2020-05-09T11:01:34.877077,2020-05-09T11:01:34.877514,0.000437,1,4,1,1,1,1,1,1
2020-05-09T11:01:34.877596,2020-05-09T11:01:34.878039,0.000443,1,3,1,1,1,1,1,1
2020-05-09T11:01:34.878120,2020-05-09T11:01:34.878561,0.000441,1,3,1,1,1,1,1,1
2020-05-09T11:01:34.878642,2020-05-09T11:01:34.879077,0.000435,1,2,1,1,1,1,1,1
2020-05-09T11:01:34.879161,2020-05-09T11:01:34.879598,0.000437,1,11,1,1,1,1,1,1
2020-05-09T11:01:34.879676,2020-05-09T11:01:34.880129,0.000453,1,1,1,1,1,1,1,1
2020-05-09T11:01:34.880213,2020-05-09T11:01:34.880651,0.000438,1,10,1,1,1,1,1,1
2020-05-09T11:01:34.880734,2020-05-09T11:01:34.881172,0.000438,1,11,1,1,1,1,1,1
2020-05-09T11:01:34.881254,2020-05-09T11:01:34.881685,0.000431,1,8,1,1,1,1,1,1
2020-05-09T11:01:34.881765,2020-05-09T11:01:34.882199,0.000434,1,1,1,1,1,1,1,1
2020-05-09T11:01:34.882282,2020-05-09T11:01:34.882725,0.000443,1,9,1,1,1,1,1,1
2020-05-09T11:01:34.882805,2020-05-09T11:01:34.883237,0.000432,1,6,1,1,1,1,1,1
2020-05-09T11:01:34.883313,2020-05-09T11:01:34.883742,0.000429,1,0,1,1,1,1,1,1
2020-05-09T11:01:34.883821,2020-05-09T11:01:34.884273,0.000452,1,0,1,1,1,1,1,1
2020-05-09T11:01:34.884351,2020-05-09T11:01:34.884781,0.00043,1,1,1,1,1,1,1,1
2020-05-09T11:01:34.884861,2020-05-09T11:01:34.885294,0.000433,1,3,1,1,1,1,1,1
2020-05-09T11:01:34.896156,2020-05-09T11:01:34.897397,0.001241,2,3 8,1,2,2,2,2,1.5
2020-05-09T11:01:34.897568,2020-05-09T11:01:34.898943,0.001375,2,0 8,1,3,2,2,2,1.6875
2020-05-09T11:01:34.899091,2020-05-09T11:01:34.900769,0.001678,2,11 10,1,3,2,2,2,1.6875
2020-05-09T11:01:34.900924,2020-05-09T11:01:34.902338,0.001414,2,8 6,1,3,2,2,2,1.6875
2020-05-09T11:01:34.902489,2020-05-09T11:01:34.903876,0.001387,2,7 9,1,3,2,2,2,1.6875
2020-05-09T11:01:34.904052,2020-05-09T11:01:34.905455,0.001403,2,0 2,1,3,2,2,2,1.6875
2020-05-09T11:01:34.905612,2020-05-09T11:01:34.907284,0.001672,2,6 5,1,3,2,2,2,1.6875
2020-05-09T11:01:34.907494,2020-05-09T11:01:34.913135,0.005641,2,2 3,1,3,2,2,2,1.6875
2020-05-09T11:01:34.913352,2020-05-09T11:01:34.914967,0.001615,2,1 1,1,3,2,2,2,1.6875
2020-05-09T11:01:34.915183,2020-05-09T11:01:34.916599,0.001416,2,1 5,1,3,2,2,2,1.6875
2020-05-09T11:01:34.916812,2020-05-09T11:01:34.918414,0.001602,2,9 4,1,3,2,2,2,1.6875
2020-05-09T11:01:34.918628,2020-05-09T11:01:34.920010,0.001382,2,11 7,1,3,2,2,2,1.6875
2020-05-09T11:01:34.920162,2020-05-09T11:01:34.921770,0.001608,2,1 6,1,3,2,2,2,1.6875
2020-05-09T11:01:34.921930,2020-05-09T11:01:34.922858,0.000928,2,8 4,1,2,2,2,2,1.5
2020-05-09T11:01:34.923000,2020-05-09T11:01:34.936729,0.013729,2,9 5,1,3,2,2,2,1.6875
2020-05-09T11:01:34.936942,2020-05-09T11:01:34.938306,0.001364,2,3 11,1,3,2,2,2,1.6875
2020-05-09T11:01:34.938507,2020-05-09T11:01:34.950709,0.012202,2,0 10,1,3,2,2,2,1.6875
2020-05-09T11:01:34.950921,2020-05-09T11:01:34.952300,0.001379,2,4 1,1,3,2,2,2,1.6875
2020-05-09T11:01:34.952509,2020-05-09T11:01:34.954055,0.001546,2,1 6,1,3,2,2,2,1.6875
2020-05-09T11:01:34.954201,2020-05-09T11:01:34.955540,0.001339,2,7 10,1,3,2,2,2,1.6875
2020-05-09T11:01:34.972217,2020-05-09T11:01:34.975716,0.003499,3,2 5 5,1,7,3,3,3,2.4125
2020-05-09T11:01:34.976062,2020-05-09T11:01:34.979544,0.003482,3,11 10 10,1,7,3,3,3,2.2875
2020-05-09T11:01:34.979930,2020-05-09T11:01:34.983360,0.00343,3,2 11 3,1,7,3,3,3,2.333333333
2020-05-09T11:01:34.983691,2020-05-09T11:01:34.987693,0.004002,3,4 11 8,1,8,3,3,3,2.377777778
2020-05-09T11:01:34.988143,2020-05-09T11:01:34.990732,0.002589,3,0 3 0,1,5,3,3,3,2.230769231
2020-05-09T11:01:34.991060,2020-05-09T11:01:34.993127,0.002067,3,4 1 3,1,4,3,3,3,2.261904762
2020-05-09T11:01:34.993337,2020-05-09T11:01:34.995815,0.002478,3,5 3 10,1,5,3,3,3,2.230769231
2020-05-09T11:01:34.996149,2020-05-09T11:01:35.481702,0.485553,3,10 7 2,1,82,315,5,8,5.201244813
2020-05-09T11:01:35.485677,2020-05-09T11:01:35.487800,0.002123,3,4 6 2,1,4,3,3,3,2.023809524
2020-05-09T11:01:35.488079,2020-05-09T11:01:35.492074,0.003995,3,11 11 4,1,8,3,3,3,2.377777778
2020-05-09T11:01:35.492472,2020-05-09T11:01:35.495761,0.003289,3,1 10 10,1,7,3,3,3,2.4125
2020-05-09T11:01:35.496162,2020-05-09T11:01:35.498224,0.002062,3,2 5 2,1,4,3,3,3,2.261904762
2020-05-09T11:01:35.498487,2020-05-09T11:01:35.500980,0.002493,3,0 9 5,1,5,3,3,3,2.230769231
2020-05-09T11:01:35.501305,2020-05-09T11:01:35.504074,0.002769,3,1 5 4,1,6,3,3,3,2.314285714
2020-05-09T11:01:35.504408,2020-05-09T11:01:35.506492,0.002084,3,3 1 1,1,4,3,3,3,2.023809524
2020-05-09T11:01:35.506757,2020-05-09T11:01:35.536864,0.030107,3,1 8 10,1,20,5,5,5,3.816831683
2020-05-09T11:01:35.537900,2020-05-09T11:01:35.540594,0.002694,3,11 3 11,1,5,3,3,3,2.230769231
