start_dt,stop_dt,duration,depth,scramble,is_solved,solve_steps,sol_len_naive,sol_len_bfs,tree_depth_max,tree_depth_mean
2020-05-11T17:11:46.087016,2020-05-11T17:11:46.089876,0.00286,1,10,1,1,1,1,1,1
2020-05-11T17:11:46.089977,2020-05-11T17:11:46.090552,0.000575,1,1,1,1,1,1,1,1
2020-05-11T17:11:46.090634,2020-05-11T17:11:46.091070,0.000436,1,0,1,1,1,1,1,1
2020-05-11T17:11:46.091149,2020-05-11T17:11:46.091744,0.000595,1,11,1,1,1,1,1,1
2020-05-11T17:11:46.091823,2020-05-11T17:11:46.092267,0.000444,1,4,1,1,1,1,1,1
2020-05-11T17:11:46.092347,2020-05-11T17:11:46.092779,0.000432,1,3,1,1,1,1,1,1
2020-05-11T17:11:46.092859,2020-05-11T17:11:46.093290,0.000431,1,3,1,1,1,1,1,1
2020-05-11T17:11:46.093369,2020-05-11T17:11:46.093800,0.000431,1,2,1,1,1,1,1,1
2020-05-11T17:11:46.093879,2020-05-11T17:11:46.094312,0.000433,1,11,1,1,1,1,1,1
2020-05-11T17:11:46.094391,2020-05-11T17:11:46.094824,0.000433,1,1,1,1,1,1,1,1
2020-05-11T17:11:46.094907,2020-05-11T17:11:46.095338,0.000431,1,10,1,1,1,1,1,1
2020-05-11T17:11:46.095416,2020-05-11T17:11:46.095990,0.000574,1,11,1,1,1,1,1,1
2020-05-11T17:11:46.096068,2020-05-11T17:11:46.096501,0.000433,1,8,1,1,1,1,1,1
2020-05-11T17:11:46.096579,2020-05-11T17:11:46.097008,0.000429,1,1,1,1,1,1,1,1
2020-05-11T17:11:46.097087,2020-05-11T17:11:46.097512,0.000425,1,9,1,1,1,1,1,1
2020-05-11T17:11:46.097590,2020-05-11T17:11:46.098132,0.000542,1,6,1,1,1,1,1,1
2020-05-11T17:11:46.098207,2020-05-11T17:11:46.098637,0.00043,1,0,1,1,1,1,1,1
2020-05-11T17:11:46.098715,2020-05-11T17:11:46.099243,0.000528,1,0,1,1,1,1,1,1
2020-05-11T17:11:46.099322,2020-05-11T17:11:46.099752,0.00043,1,1,1,1,1,1,1,1
2020-05-11T17:11:46.099832,2020-05-11T17:11:46.100495,0.000663,1,3,1,1,1,1,1,1
2020-05-11T17:11:46.101035,2020-05-11T17:11:46.102009,0.000974,2,3 8,1,2,2,2,2,1.5
2020-05-11T17:11:46.102155,2020-05-11T17:11:46.103825,0.00167,2,0 8,1,3,2,2,2,1.6875
2020-05-11T17:11:46.103975,2020-05-11T17:11:46.105524,0.001549,2,11 10,1,3,2,2,2,1.6875
2020-05-11T17:11:46.105673,2020-05-11T17:11:46.107011,0.001338,2,8 6,1,3,2,2,2,1.6875
2020-05-11T17:11:46.107157,2020-05-11T17:11:46.108764,0.001607,2,7 9,1,3,2,2,2,1.6875
2020-05-11T17:11:46.108910,2020-05-11T17:11:46.110439,0.001529,2,0 2,1,3,2,2,2,1.6875
2020-05-11T17:11:46.110586,2020-05-11T17:11:46.112122,0.001536,2,6 5,1,3,2,2,2,1.6875
2020-05-11T17:11:46.112325,2020-05-11T17:11:46.113843,0.001518,2,2 3,1,3,2,2,2,1.6875
2020-05-11T17:11:46.114046,2020-05-11T17:11:46.115857,0.001811,2,1 1,1,3,2,2,2,1.6875
2020-05-11T17:11:46.116065,2020-05-11T17:11:46.117608,0.001543,2,1 5,1,3,2,2,2,1.6875
2020-05-11T17:11:46.117811,2020-05-11T17:11:46.119441,0.00163,2,9 4,1,3,2,2,2,1.6875
2020-05-11T17:11:46.119644,2020-05-11T17:11:46.121149,0.001505,2,11 7,1,3,2,2,2,1.6875
2020-05-11T17:11:46.121297,2020-05-11T17:11:46.122875,0.001578,2,1 6,1,3,2,2,2,1.6875
2020-05-11T17:11:46.123022,2020-05-11T17:11:46.123960,0.000938,2,8 4,1,2,2,2,2,1.5
2020-05-11T17:11:46.124107,2020-05-11T17:11:46.125496,0.001389,2,9 5,1,3,2,2,2,1.6875
2020-05-11T17:11:46.125698,2020-05-11T17:11:46.127086,0.001388,2,3 11,1,3,2,2,2,1.6875
2020-05-11T17:11:46.127290,2020-05-11T17:11:46.129037,0.001747,2,0 10,1,3,2,2,2,1.6875
2020-05-11T17:11:46.129241,2020-05-11T17:11:46.130784,0.001543,2,4 1,1,3,2,2,2,1.6875
2020-05-11T17:11:46.130992,2020-05-11T17:11:46.132906,0.001914,2,1 6,1,3,2,2,2,1.6875
2020-05-11T17:11:46.133056,2020-05-11T17:11:46.134656,0.0016,2,7 10,1,3,2,2,2,1.6875
2020-05-11T17:11:46.135232,2020-05-11T17:11:46.138962,0.00373,3,2 5 5,1,7,3,3,3,2.4125
2020-05-11T17:11:46.139301,2020-05-11T17:11:46.143068,0.003767,3,11 10 10,1,7,3,3,3,2.2875
2020-05-11T17:11:46.143455,2020-05-11T17:11:46.146809,0.003354,3,2 11 3,1,7,3,3,3,2.333333333
2020-05-11T17:11:46.147144,2020-05-11T17:11:46.151007,0.003863,3,4 11 8,1,8,3,3,3,2.377777778
2020-05-11T17:11:46.151452,2020-05-11T17:11:46.153987,0.002535,3,0 3 0,1,5,3,3,3,2.230769231
2020-05-11T17:11:46.154312,2020-05-11T17:11:46.156219,0.001907,3,4 1 3,1,4,3,3,3,2.261904762
2020-05-11T17:11:46.156429,2020-05-11T17:11:46.158963,0.002534,3,5 3 10,1,5,3,3,3,2.230769231
2020-05-11T17:11:46.159285,2020-05-11T17:11:46.179643,0.020358,3,10 7 2,1,30,27,3,4,3.425714286
2020-05-11T17:11:46.180771,2020-05-11T17:11:46.181327,0.000556,3,7 0 1,1,1,1,1,1,1
2020-05-11T17:11:46.181412,2020-05-11T17:11:46.183847,0.002435,3,2 10 2,1,5,3,3,3,2.230769231
2020-05-11T17:11:46.184123,2020-05-11T17:11:46.186937,0.002814,3,9 1 6,1,6,3,3,3,2.209677419
2020-05-11T17:11:46.187267,2020-05-11T17:11:46.213877,0.02661,3,7 8 4,1,37,27,3,6,3.670353982
2020-05-11T17:11:46.215304,2020-05-11T17:11:46.217907,0.002603,3,8 8 1,1,5,3,3,3,2.230769231
2020-05-11T17:11:46.218229,2020-05-11T17:11:46.220523,0.002294,3,10 8 9,1,4,3,3,3,2.2
2020-05-11T17:11:46.220797,2020-05-11T17:11:46.225978,0.005181,3,5 2 0,1,5,3,3,3,2.230769231
2020-05-11T17:11:46.226308,2020-05-11T17:11:46.226765,0.000457,3,7 0 1,1,1,1,1,1,1
2020-05-11T17:11:46.226845,2020-05-11T17:11:46.229407,0.002562,3,5 4 3,1,5,3,3,3,2.038461538
2020-05-11T17:11:46.229729,2020-05-11T17:11:46.231743,0.002014,3,9 1 1,1,4,3,3,3,2.023809524
2020-05-11T17:11:46.232015,2020-05-11T17:11:46.251800,0.019785,3,1 8 10,1,32,25,3,7,4.16969697
2020-05-11T17:11:46.252643,2020-05-11T17:11:46.256648,0.004005,3,10 10 5,1,8,3,3,3,2.377777778
2020-05-11T17:11:46.257572,2020-05-11T17:11:46.263517,0.005945,4,1 3 3 1,1,12,4,4,4,3.054054054
