start_dt,stop_dt,duration,depth,scramble,is_solved,solve_steps,sol_len_naive,sol_len_bfs,tree_depth_max,tree_depth_mean
2020-05-12T11:46:01.008596,2020-05-12T11:46:01.010082,0.001486,1,10,1,1,1,1,1,1
2020-05-12T11:46:01.010165,2020-05-12T11:46:01.010265,0.0001,1,1,1,1,1,1,1,1
2020-05-12T11:46:01.010336,2020-05-12T11:46:01.010422,8.60E-05,1,0,1,1,1,1,1,1
2020-05-12T11:46:01.010491,2020-05-12T11:46:01.010576,8.50E-05,1,11,1,1,1,1,1,1
2020-05-12T11:46:01.010643,2020-05-12T11:46:01.010727,8.40E-05,1,4,1,1,1,1,1,1
2020-05-12T11:46:01.010795,2020-05-12T11:46:01.010879,8.40E-05,1,3,1,1,1,1,1,1
2020-05-12T11:46:01.010947,2020-05-12T11:46:01.011030,8.30E-05,1,3,1,1,1,1,1,1
2020-05-12T11:46:01.011097,2020-05-12T11:46:01.011180,8.30E-05,1,2,1,1,1,1,1,1
2020-05-12T11:46:01.011247,2020-05-12T11:46:01.011331,8.40E-05,1,11,1,1,1,1,1,1
2020-05-12T11:46:01.011397,2020-05-12T11:46:01.011480,8.30E-05,1,1,1,1,1,1,1,1
2020-05-12T11:46:01.011548,2020-05-12T11:46:01.011633,8.50E-05,1,10,1,1,1,1,1,1
2020-05-12T11:46:01.011699,2020-05-12T11:46:01.011782,8.30E-05,1,11,1,1,1,1,1,1
2020-05-12T11:46:01.011849,2020-05-12T11:46:01.011932,8.30E-05,1,8,1,1,1,1,1,1
2020-05-12T11:46:01.012013,2020-05-12T11:46:01.012097,8.40E-05,1,1,1,1,1,1,1,1
2020-05-12T11:46:01.012166,2020-05-12T11:46:01.012248,8.20E-05,1,9,1,1,1,1,1,1
2020-05-12T11:46:01.012314,2020-05-12T11:46:01.012397,8.30E-05,1,6,1,1,1,1,1,1
2020-05-12T11:46:01.012461,2020-05-12T11:46:01.012543,8.20E-05,1,0,1,1,1,1,1,1
2020-05-12T11:46:01.012611,2020-05-12T11:46:01.012693,8.20E-05,1,0,1,1,1,1,1,1
2020-05-12T11:46:01.012760,2020-05-12T11:46:01.012842,8.20E-05,1,1,1,1,1,1,1,1
2020-05-12T11:46:01.012909,2020-05-12T11:46:01.012991,8.20E-05,1,3,1,1,1,1,1,1
2020-05-12T11:46:01.024155,2020-05-12T11:46:01.025884,0.001729,2,3 8,1,2,2,2,2,1.5
2020-05-12T11:46:01.026032,2020-05-12T11:46:01.027334,0.001302,2,8 3,1,4,2,2,2,1.785714286
2020-05-12T11:46:01.027481,2020-05-12T11:46:01.028913,0.001432,2,11 8,1,4,2,2,2,1.785714286
2020-05-12T11:46:01.029060,2020-05-12T11:46:01.030224,0.001164,2,7 9,1,4,2,2,2,1.785714286
2020-05-12T11:46:01.030423,2020-05-12T11:46:01.031047,0.000624,2,2 11,1,3,2,2,2,1.6875
2020-05-12T11:46:01.031188,2020-05-12T11:46:01.032386,0.001198,2,4 2,1,4,2,2,2,1.785714286
2020-05-12T11:46:01.032643,2020-05-12T11:46:01.033260,0.000617,2,1 1,1,3,2,2,2,1.6875
2020-05-12T11:46:01.033396,2020-05-12T11:46:01.034587,0.001191,2,5 5,1,4,2,2,2,1.785714286
2020-05-12T11:46:01.034787,2020-05-12T11:46:01.035943,0.001156,2,0 11,1,4,2,2,2,1.785714286
2020-05-12T11:46:01.040139,2020-05-12T11:46:01.041460,0.001321,2,1 6,1,4,2,2,2,1.785714286
2020-05-12T11:46:01.041610,2020-05-12T11:46:01.042771,0.001161,2,4 9,1,4,2,2,2,1.785714286
2020-05-12T11:46:01.042918,2020-05-12T11:46:01.047881,0.004963,2,3 11,1,4,2,2,2,1.785714286
2020-05-12T11:46:01.048152,2020-05-12T11:46:01.049724,0.001572,2,10 3,1,4,2,2,2,1.785714286
2020-05-12T11:46:01.049978,2020-05-12T11:46:01.050644,0.000666,2,1 6,1,3,2,2,2,1.6875
2020-05-12T11:46:01.050836,2020-05-12T11:46:01.051994,0.001158,2,10 5,1,4,2,2,2,1.785714286
2020-05-12T11:46:01.052248,2020-05-12T11:46:01.068184,0.015936,2,5 3,1,4,2,2,2,1.785714286
2020-05-12T11:46:01.068405,2020-05-12T11:46:01.069608,0.001203,2,11 10,1,4,2,2,2,1.785714286
2020-05-12T11:46:01.069812,2020-05-12T11:46:01.071116,0.001304,2,9 10,1,4,2,2,2,1.785714286
2020-05-12T11:46:01.071316,2020-05-12T11:46:01.072476,0.00116,2,11 3,1,4,2,2,2,1.785714286
2020-05-12T11:46:01.072729,2020-05-12T11:46:01.073289,0.00056,2,6 4,1,2,2,2,2,1.5
2020-05-12T11:46:01.080152,2020-05-12T11:46:01.083914,0.003762,3,8 3 10,1,16,3,3,3,2.376344086
2020-05-12T11:46:01.084839,2020-05-12T11:46:01.088268,0.003429,3,3 10 7,1,14,3,3,3,2.35915493
2020-05-12T11:46:01.088890,2020-05-12T11:46:01.092429,0.003539,3,4 11 9,1,16,3,3,3,2.537634409
2020-05-12T11:46:01.093231,2020-05-12T11:46:01.096852,0.003621,3,1 2 10,1,16,3,3,3,2.327160494
2020-05-12T11:46:01.097698,2020-05-12T11:46:01.116113,0.018415,3,0 10 11,1,9,3,3,3,2.25
2020-05-12T11:46:01.116631,2020-05-12T11:46:01.120358,0.003727,3,4 6 2,1,14,3,3,3,2.35915493
2020-05-12T11:46:01.121140,2020-05-12T11:46:01.121265,0.000125,3,8 9 2,1,1,1,1,1,1
2020-05-12T11:46:01.121337,2020-05-12T11:46:01.124747,0.00341,3,5 2 0,1,14,3,3,3,2.466666667
2020-05-12T11:46:01.125429,2020-05-12T11:46:01.127710,0.002281,3,9 1 1,1,8,3,3,3,2.155555556
2020-05-12T11:46:01.140266,2020-05-12T11:46:01.144053,0.003787,3,7 8 4,1,15,3,3,3,2.407894737
2020-05-12T11:46:01.144895,2020-05-12T11:46:01.153311,0.008416,3,6 10 10,1,16,3,3,3,2.398876404
2020-05-12T11:46:01.154175,2020-05-12T11:46:01.168611,0.014436,3,8 3 3,1,16,3,3,3,2.364705882
2020-05-12T11:46:01.169407,2020-05-12T11:46:01.172769,0.003362,3,3 4 7,1,15,3,3,3,2.416666667
2020-05-12T11:46:01.173461,2020-05-12T11:46:01.176870,0.003409,3,3 1 1,1,16,3,3,3,2.398876404
2020-05-12T11:46:01.177622,2020-05-12T11:46:01.189000,0.011378,3,0 11 1,1,12,3,3,3,2.319672131
2020-05-12T11:46:01.189686,2020-05-12T11:46:01.193185,0.003499,3,3 1 8,1,14,3,3,3,2.373417722
2020-05-12T11:46:01.193928,2020-05-12T11:46:01.196084,0.002156,3,6 2 6,1,8,3,3,3,2.304878049
2020-05-12T11:46:01.196519,2020-05-12T11:46:01.216093,0.019574,3,11 11 8,1,14,3,3,3,2.436708861
2020-05-12T11:46:01.216799,2020-05-12T11:46:01.220403,0.003604,3,11 0 0,1,16,3,3,3,2.45505618
2020-05-12T11:46:01.221102,2020-05-12T11:46:01.224593,0.003491,3,9 1 10,1,14,3,3,3,2.35915493
2020-05-12T11:46:01.244152,2020-05-12T11:46:01.251254,0.007102,4,10 9 9 8,1,35,4,4,4,3.082788671
2020-05-12T11:46:01.253393,2020-05-12T11:46:01.272439,0.019046,4,1 1 8 3,1,36,4,4,4,3.116326531
2020-05-12T11:46:01.274795,2020-05-12T11:46:01.292952,0.018157,4,4 1 2 4,1,30,4,4,4,2.779141104
2020-05-12T11:46:01.294881,2020-05-12T11:46:01.300186,0.005305,4,0 1 10 6,1,27,6,4,4,2.725
2020-05-12T11:46:01.301889,2020-05-12T11:46:01.324331,0.022442,4,11 2 0 5,1,51,4,4,5,3.341853035
2020-05-12T11:46:01.327628,2020-05-12T11:46:01.352246,0.024618,4,2 11 6 10,1,59,16,4,6,3.532485876
2020-05-12T11:46:01.355600,2020-05-12T11:46:01.374768,0.019168,4,1 4 2 9,1,35,4,4,4,2.968674699
2020-05-12T11:46:01.377001,2020-05-12T11:46:01.399024,0.022023,4,6 8 8 10,1,49,4,4,5,3.344563553
2020-05-12T11:46:01.402216,2020-05-12T11:46:01.408834,0.006618,4,6 10 6 10,1,35,4,4,4,2.815217391
2020-05-12T11:46:01.410937,2020-05-12T11:46:01.419493,0.008556,4,8 7 11 2,1,48,4,4,4,3.197594502
2020-05-12T11:46:01.422785,2020-05-12T11:46:01.431668,0.008883,4,9 11 11 6,1,44,4,4,5,3.179245283
2020-05-12T11:46:01.434054,2020-05-12T11:46:01.441333,0.007279,4,8 9 5 7,1,36,4,4,5,2.940594059
2020-05-12T11:46:01.443510,2020-05-12T11:46:01.448753,0.005243,4,1 11 4 3,1,28,4,4,4,2.88034188
2020-05-12T11:46:01.450665,2020-05-12T11:46:01.457320,0.006655,4,6 6 5 8,1,36,4,4,4,2.964200477
2020-05-12T11:46:01.459507,2020-05-12T11:46:01.466558,0.007051,4,3 7 3 4,1,37,4,4,5,3.166666667
2020-05-12T11:46:01.469247,2020-05-12T11:46:01.474612,0.005365,4,2 7 2 0,1,29,4,4,4,2.801886792
2020-05-12T11:46:01.476461,2020-05-12T11:46:01.483128,0.006667,4,5 3 10 1,1,37,4,4,4,2.944055944
2020-05-12T11:46:01.485699,2020-05-12T11:46:01.490915,0.005216,4,9 9 11 11,1,26,4,4,4,2.832278481
2020-05-12T11:46:01.492645,2020-05-12T11:46:01.501706,0.009061,4,10 3 1 11,1,49,4,4,5,3.365705615
2020-05-12T11:46:01.504863,2020-05-12T11:46:01.515420,0.010557,4,11 8 10 9,1,56,4,4,5,3.243204578
2020-05-12T11:46:01.519591,2020-05-12T11:46:01.531026,0.011435,5,11 4 8 0 8,1,57,5,5,5,3.522068096
2020-05-12T11:46:01.535268,2020-05-12T11:46:01.588089,0.052821,5,11 8 5 5 7,1,210,13,5,9,5.261086821
2020-05-12T11:46:01.597300,2020-05-12T11:46:02.939773,1.342473,5,11 9 7 4 0,1,1549,25,7,16,8.374000545
2020-05-12T11:46:03.133170,2020-05-12T11:46:03.155052,0.021882,5,5 3 5 2 1,1,58,5,5,5,3.549242424
2020-05-12T11:46:03.159691,2020-05-12T11:46:03.163416,0.003725,5,10 10 9 5 10,1,14,3,3,3,2.288732394
2020-05-12T11:46:03.164163,2020-05-12T11:46:03.223497,0.059334,5,5 8 1 4 7,1,210,5,5,9,4.877109201
2020-05-12T11:46:03.232565,2020-05-12T11:46:03.269669,0.037104,5,3 5 7 3 3,1,155,17,5,7,4.844111641
2020-05-12T11:46:03.279038,2020-05-12T11:46:03.303102,0.024064,5,5 0 0 8 5,1,111,5,5,7,4.556988138
2020-05-12T11:46:03.312820,2020-05-12T11:46:05.666203,2.353383,5,6 9 5 3 6,1,2690,25,9,16,8.592231445
2020-05-12T11:46:06.468532,2020-05-12T11:46:06.535156,0.066624,5,10 8 0 11 7,1,239,11,5,8,5.492442323
2020-05-12T11:46:06.545534,2020-05-12T11:46:06.558439,0.012905,5,8 5 8 6 7,1,71,5,5,5,3.686372745
2020-05-12T11:46:06.563836,2020-05-12T11:46:06.567458,0.003622,5,4 7 8 10 5,1,14,3,3,3,2.4
2020-05-12T11:46:06.568104,2020-05-12T11:46:06.571617,0.003513,5,10 11 4 9 9,1,16,3,3,3,2.423529412
