start_dt,stop_dt,duration,depth,scramble,is_solved,solve_steps,sol_len_naive,sol_len_bfs,tree_depth_max,tree_depth_mean
2020-05-16T12:12:27.104652,2020-05-16T12:12:27.107397,0.002745,1,10,1,1,1,1,1,1
2020-05-16T12:12:27.107491,2020-05-16T12:12:27.107949,0.000458,1,1,1,1,1,1,1,1
2020-05-16T12:12:27.108038,2020-05-16T12:12:27.108476,0.000438,1,0,1,1,1,1,1,1
2020-05-16T12:12:27.108553,2020-05-16T12:12:27.108985,0.000432,1,11,1,1,1,1,1,1
2020-05-16T12:12:27.109061,2020-05-16T12:12:27.109493,0.000432,1,4,1,1,1,1,1,1
2020-05-16T12:12:27.109571,2020-05-16T12:12:27.110001,0.00043,1,3,1,1,1,1,1,1
2020-05-16T12:12:27.110080,2020-05-16T12:12:27.110510,0.00043,1,3,1,1,1,1,1,1
2020-05-16T12:12:27.110588,2020-05-16T12:12:27.111017,0.000429,1,2,1,1,1,1,1,1
2020-05-16T12:12:27.111095,2020-05-16T12:12:27.111526,0.000431,1,11,1,1,1,1,1,1
2020-05-16T12:12:27.111604,2020-05-16T12:12:27.112043,0.000439,1,1,1,1,1,1,1,1
2020-05-16T12:12:27.112120,2020-05-16T12:12:27.112554,0.000434,1,10,1,1,1,1,1,1
2020-05-16T12:12:27.112630,2020-05-16T12:12:27.113060,0.00043,1,11,1,1,1,1,1,1
2020-05-16T12:12:27.113137,2020-05-16T12:12:27.113572,0.000435,1,8,1,1,1,1,1,1
2020-05-16T12:12:27.113648,2020-05-16T12:12:27.114082,0.000434,1,1,1,1,1,1,1,1
2020-05-16T12:12:27.114160,2020-05-16T12:12:27.114595,0.000435,1,9,1,1,1,1,1,1
2020-05-16T12:12:27.114672,2020-05-16T12:12:27.115101,0.000429,1,6,1,1,1,1,1,1
2020-05-16T12:12:27.115176,2020-05-16T12:12:27.115607,0.000431,1,0,1,1,1,1,1,1
2020-05-16T12:12:27.115685,2020-05-16T12:12:27.116113,0.000428,1,0,1,1,1,1,1,1
2020-05-16T12:12:27.116190,2020-05-16T12:12:27.116617,0.000427,1,1,1,1,1,1,1,1
2020-05-16T12:12:27.116694,2020-05-16T12:12:27.117123,0.000429,1,3,1,1,1,1,1,1
2020-05-16T12:12:27.117660,2020-05-16T12:12:27.119478,0.001818,2,3 8,1,2,2,2,2,1.5
2020-05-16T12:12:27.119624,2020-05-16T12:12:27.121435,0.001811,2,0 8,1,4,2,2,2,1.785714286
2020-05-16T12:12:27.121583,2020-05-16T12:12:27.122924,0.001341,2,11 10,1,3,2,2,2,1.6875
2020-05-16T12:12:27.123066,2020-05-16T12:12:27.124402,0.001336,2,8 6,1,3,2,2,2,1.6875
2020-05-16T12:12:27.124544,2020-05-16T12:12:27.125876,0.001332,2,7 9,1,3,2,2,2,1.6875
2020-05-16T12:12:27.126018,2020-05-16T12:12:27.127787,0.001769,2,0 2,1,4,2,2,2,1.785714286
2020-05-16T12:12:27.127995,2020-05-16T12:12:27.140894,0.012899,2,6 5,1,5,2,2,3,2.038461538
2020-05-16T12:12:27.141158,2020-05-16T12:12:27.142519,0.001361,2,3 5,1,3,2,2,2,1.6875
2020-05-16T12:12:27.142718,2020-05-16T12:12:27.144776,0.002058,2,1 6,1,3,2,2,2,1.6875
2020-05-16T12:12:27.144971,2020-05-16T12:12:27.146760,0.001789,2,5 5,1,4,2,2,2,1.785714286
2020-05-16T12:12:27.146960,2020-05-16T12:12:27.148298,0.001338,2,4 0,1,3,2,2,2,1.6875
2020-05-16T12:12:27.148443,2020-05-16T12:12:27.149779,0.001336,2,7 8,1,3,2,2,2,1.6875
2020-05-16T12:12:27.149975,2020-05-16T12:12:27.151310,0.001335,2,6 1,1,3,2,2,2,1.6875
