start_dt,stop_dt,duration,depth,scramble,is_solved,solve_steps,sol_len_naive,sol_len_bfs,tree_depth_max,tree_depth_mean
2020-05-19T06:36:39.064143,2020-05-19T06:36:39.066823,0.00268,1,10,1,1,1,1,1,1
2020-05-19T06:36:39.066918,2020-05-19T06:36:39.067407,0.000489,1,1,1,1,1,1,1,1
2020-05-19T06:36:39.067488,2020-05-19T06:36:39.067930,0.000442,1,0,1,1,1,1,1,1
2020-05-19T06:36:39.068017,2020-05-19T06:36:39.068457,0.00044,1,11,1,1,1,1,1,1
2020-05-19T06:36:39.068536,2020-05-19T06:36:39.068962,0.000426,1,4,1,1,1,1,1,1
2020-05-19T06:36:39.069041,2020-05-19T06:36:39.069479,0.000438,1,3,1,1,1,1,1,1
2020-05-19T06:36:39.069558,2020-05-19T06:36:39.069979,0.000421,1,3,1,1,1,1,1,1
2020-05-19T06:36:39.070071,2020-05-19T06:36:39.070496,0.000425,1,2,1,1,1,1,1,1
2020-05-19T06:36:39.070575,2020-05-19T06:36:39.071013,0.000438,1,11,1,1,1,1,1,1
2020-05-19T06:36:39.071090,2020-05-19T06:36:39.071510,0.00042,1,1,1,1,1,1,1,1
2020-05-19T06:36:39.071588,2020-05-19T06:36:39.072039,0.000451,1,10,1,1,1,1,1,1
2020-05-19T06:36:39.072116,2020-05-19T06:36:39.072553,0.000437,1,11,1,1,1,1,1,1
2020-05-19T06:36:39.072631,2020-05-19T06:36:39.073056,0.000425,1,8,1,1,1,1,1,1
2020-05-19T06:36:39.073134,2020-05-19T06:36:39.073571,0.000437,1,1,1,1,1,1,1,1
2020-05-19T06:36:39.073650,2020-05-19T06:36:39.074096,0.000446,1,9,1,1,1,1,1,1
2020-05-19T06:36:39.074175,2020-05-19T06:36:39.074834,0.000659,1,6,1,1,1,1,1,1
2020-05-19T06:36:39.074923,2020-05-19T06:36:39.075395,0.000472,1,0,1,1,1,1,1,1
2020-05-19T06:36:39.075473,2020-05-19T06:36:39.075893,0.00042,1,0,1,1,1,1,1,1
